Name,beta,gamma,n_shots,test_accuracy
giddy-sweep-94,1,10,30,0.19066667
misunderstood-sweep-86,1,0.001,30,0.189333335
vague-sweep-710,50,75,30,0.188000005
fast-sweep-270,100,1000,30,0.188000004
dark-sweep-766,75,5,30,0.188000001
mild-sweep-662,50,100,30,0.188
colorful-sweep-798,75,5000,30,0.18666667
deep-sweep-702,50,50,30,0.18666667
young-sweep-518,5,10000,30,0.18666667
rose-sweep-694,50,25,30,0.185333338
driven-sweep-318,100,5000,30,0.185333338
fancy-sweep-750,75,1000,30,0.184000006
treasured-sweep-278,100,10000,30,0.181333341
electric-sweep-238,10,5000,30,0.180000005
fancy-sweep-758,75,10000,30,0.180000004
deep-sweep-670,50,1000,30,0.178666669
desert-sweep-214,10,25,30,0.178666669
sage-sweep-686,50,5,30,0.174666673
noble-sweep-222,10,50,30,0.17466667
noble-sweep-14,0.001,10,30,0.172000009
sweepy-sweep-590,25,1000,30,0.170666669
visionary-sweep-166,10,0.001,30,0.168000005
divine-sweep-614,25,25,30,0.168000004
hearty-sweep-598,25,10000,30,0.16666667
rare-sweep-174,10,10,30,0.16666667
apricot-sweep-190,10,1000,30,0.166666669
hearty-sweep-630,25,75,30,0.16533334
distinctive-sweep-638,25,5000,30,0.164000003
eager-sweep-574,25,10,30,0.164000003
logical-sweep-718,50,5000,30,0.162666669
chocolate-sweep-678,50,10000,30,0.162666669
pretty-sweep-566,25,0.001,30,0.16133334
kind-sweep-582,25,100,30,0.161333337
frosty-sweep-46,0.001,5,30,0.161333336
confused-sweep-182,10,100,30,0.161333335
misty-sweep-230,10,75,30,0.160000003
floral-sweep-622,25,50,30,0.158666673
ethereal-sweep-606,25,5,30,0.157333338
breezy-sweep-54,0.001,25,30,0.157333335
different-sweep-198,10,10000,30,0.156000001
toasty-sweep-6,0.001,0.001,30,0.15466667
woven-sweep-62,0.001,50,30,0.152000004
dutiful-sweep-22,0.001,100,30,0.152000003
clear-sweep-70,0.001,75,30,0.150666668
sweepy-sweep-78,0.001,5000,30,0.149333335
fanciful-sweep-38,0.001,10000,30,0.148
misty-sweep-30,0.001,1000,30,0.146666671
mild-sweep-438,10000,10000,30,
good-sweep-439,10000,10000,40,0.890999985
gallant-sweep-479,10000,5000,40,0.889999986
balmy-sweep-471,10000,75,40,0.889999986
polar-sweep-423,10000,100,40,0.889999986
graceful-sweep-431,10000,1000,40,0.879999971
kind-sweep-463,10000,50,40,0.876999986
chocolate-sweep-831,5000,1000,40,0.876999974
wobbly-sweep-455,10000,25,40,0.859999979
bumbling-sweep-823,5000,100,40,0.856999969
fiery-sweep-879,5000,5000,40,0.851999986
devout-sweep-863,5000,50,40,0.846999991
valiant-sweep-871,5000,75,40,0.840999973
dutiful-sweep-855,5000,25,40,0.836999989
pious-sweep-415,10000,10,40,0.827999973
kind-sweep-407,10000,0.001,40,0.823999977
dandy-sweep-839,5000,10000,40,0.815999973
deep-sweep-447,10000,5,40,0.815999973
mild-sweep-815,5000,10,40,0.812999988
absurd-sweep-807,5000,0.001,40,0.808999968
sparkling-sweep-847,5000,5,40,0.796999967
wobbly-sweep-367,1000,5,40,0.655999982
iconic-sweep-327,1000,0.001,40,0.598999977
comfy-sweep-335,1000,10,40,0.589999992
fanciful-sweep-399,1000,5000,40,0.497999999
volcanic-sweep-343,1000,100,40,0.493999982
earnest-sweep-375,1000,25,40,0.472999987
neat-sweep-391,1000,75,40,0.466999996
lyric-sweep-383,1000,50,40,0.447999993
electric-sweep-359,1000,10000,40,0.397999986
visionary-sweep-351,1000,1000,40,0.39499999
unique-sweep-735,75,10,40,0.246999991
whole-sweep-727,75,0.001,40,0.243999994
wobbly-sweep-519,5,10000,40,0.241999993
autumn-sweep-295,100,25,40,0.240999994
volcanic-sweep-287,100,5,40,0.239999995
wild-sweep-559,5,5000,40,0.239999992
solar-sweep-255,100,10,40,0.238999993
wandering-sweep-511,5,1000,40,0.237999994
fragrant-sweep-231,10,75,40,0.23599999
good-sweep-183,10,100,40,0.233999991
cosmic-sweep-223,10,50,40,0.230999994
lilac-sweep-127,1,5,40,0.230999991
azure-sweep-631,25,75,40,0.229999992
desert-sweep-695,50,25,40,0.228999993
polished-sweep-623,25,50,40,0.226999992
giddy-sweep-143,1,50,40,0.226999992
silver-sweep-775,75,25,40,0.225999993
silver-sweep-767,75,5,40,0.224999994
valiant-sweep-647,50,0.001,40,0.223999998
breezy-sweep-527,5,5,40,0.223999995
olive-sweep-655,50,10,40,0.223999992
resilient-sweep-247,100,0.001,40,0.22299999
gentle-sweep-583,25,100,40,0.221999994
lyric-sweep-487,5,0.001,40,0.219999993
legendary-sweep-687,50,5,40,0.21999999
absurd-sweep-535,5,25,40,0.21999999
classic-sweep-503,5,100,40,0.216999996
sleek-sweep-495,5,10,40,0.216999996
icy-sweep-263,100,100,40,0.216999993
rosy-sweep-567,25,0.001,40,0.215999994
earnest-sweep-151,1,75,40,0.215999991
dry-sweep-119,1,10000,40,0.215999988
happy-sweep-703,50,50,40,0.214999998
driven-sweep-615,25,25,40,0.214999995
spring-sweep-591,25,1000,40,0.214999992
dauntless-sweep-599,25,10000,40,0.214999989
sweet-sweep-575,25,10,40,0.213999993
stellar-sweep-551,5,75,40,0.213999993
worthy-sweep-639,25,5000,40,0.212999994
decent-sweep-239,10,5000,40,0.212999994
breezy-sweep-87,1,0.001,40,0.212999991
sweet-sweep-215,10,25,40,0.212
exalted-sweep-543,5,50,40,0.211999997
revived-sweep-303,100,50,40,0.210999998
denim-sweep-207,10,5,40,0.206999999
wild-sweep-671,50,1000,40,0.206999995
toasty-sweep-199,10,10000,40,0.205999994
restful-sweep-191,10,1000,40,0.202999991
autumn-sweep-711,50,75,40,0.201999995
generous-sweep-135,1,25,40,0.200999996
earnest-sweep-159,1,5000,40,0.200999993
earnest-sweep-783,75,50,40,0.197999999
curious-sweep-175,10,10,40,0.196999997
sparkling-sweep-311,100,75,40,0.195999995
lively-sweep-167,10,0.001,40,0.194999996
stilted-sweep-607,25,5,40,0.194999994
morning-sweep-103,1,100,40,0.193999994
dandy-sweep-7,0.001,0.001,40,0.193999992
robust-sweep-679,50,10000,40,0.192999999
wandering-sweep-791,75,75,40,0.189999995
sparkling-sweep-663,50,100,40,0.187999995
twilight-sweep-111,1,1000,40,0.187999995
lemon-sweep-799,75,5000,40,0.184999996
legendary-sweep-719,50,5000,40,0.182999994
resilient-sweep-95,1,10,40,0.179999998
charmed-sweep-55,0.001,25,40,0.178999998
soft-sweep-743,75,100,40,0.178999996
ethereal-sweep-63,0.001,50,40,0.177999993
glowing-sweep-15,0.001,10,40,0.175999995
rural-sweep-47,0.001,5,40,0.174999997
trim-sweep-759,75,10000,40,0.174999994
dainty-sweep-23,0.001,100,40,0.171999998
olive-sweep-71,0.001,75,40,0.171999997
glorious-sweep-751,75,1000,40,0.169999996
laced-sweep-319,100,5000,40,0.167
volcanic-sweep-39,0.001,10000,40,0.163999997
vocal-sweep-279,100,10000,40,0.162999995
likely-sweep-271,100,1000,40,0.161999996
worthy-sweep-31,0.001,1000,40,0.160000001
elated-sweep-79,0.001,5000,40,0.158999991
woven-sweep-424,10000,100,50,0.866400039
fragrant-sweep-432,10000,1000,50,0.862400055
glamorous-sweep-480,10000,5000,50,0.853600049
rare-sweep-440,10000,10000,50,0.844000041
honest-sweep-824,5000,100,50,0.839200032
ancient-sweep-872,5000,75,50,0.838400042
leafy-sweep-416,10000,10,50,0.826400042
fluent-sweep-880,5000,5000,50,0.824000049
hopeful-sweep-408,10000,0.001,50,0.824000025
still-sweep-472,10000,75,50,0.82080003
misty-sweep-456,10000,25,50,0.819200051
distinctive-sweep-840,5000,10000,50,0.816000056
solar-sweep-832,5000,1000,50,0.814400041
chocolate-sweep-448,10000,5,50,0.810400033
pleasant-sweep-464,10000,50,50,0.793600035
fresh-sweep-864,5000,50,50,0.784800029
radiant-sweep-816,5000,10,50,0.781600034
happy-sweep-808,5000,0.001,50,0.781600022
absurd-sweep-848,5000,5,50,0.769600034
unique-sweep-856,5000,25,50,0.76480003
silvery-sweep-336,1000,10,50,0.584800029
good-sweep-376,1000,25,50,0.575200027
solar-sweep-368,1000,5,50,0.569600019
prime-sweep-328,1000,0.001,50,0.565600026
drawn-sweep-392,1000,75,50,0.557600027
eternal-sweep-384,1000,50,50,0.549600029
vague-sweep-344,1000,100,50,0.538400024
atomic-sweep-360,1000,10000,50,0.498400027
dutiful-sweep-400,1000,5000,50,0.492800033
still-sweep-352,1000,1000,50,0.485600024
sunny-sweep-288,100,5,50,0.273600012
graceful-sweep-256,100,10,50,0.260800013
playful-sweep-248,100,0.001,50,0.257600009
kind-sweep-768,75,5,50,0.253600016
lemon-sweep-728,75,0.001,50,0.247200015
deep-sweep-736,75,10,50,0.244000012
elated-sweep-688,50,5,50,0.229600015
visionary-sweep-280,100,10000,50,0.22720001
cool-sweep-80,0.001,5000,50,0.226400012
stoic-sweep-40,0.001,10000,50,0.226400009
confused-sweep-128,1,5,50,0.221600008
swift-sweep-32,0.001,1000,50,0.220800009
cool-sweep-144,1,50,50,0.220000008
glowing-sweep-24,0.001,100,50,0.220000008
ethereal-sweep-760,75,10000,50,0.220000006
worthy-sweep-680,50,10000,50,0.218400007
deep-sweep-72,0.001,75,50,0.217600012
dandy-sweep-528,5,5,50,0.216800013
pretty-sweep-320,100,5000,50,0.216000009
olive-sweep-160,1,5000,50,0.212800008
glamorous-sweep-64,0.001,50,50,0.209600005
swept-sweep-720,50,5000,50,0.207200013
cerulean-sweep-496,5,10,50,0.207200009
pretty-sweep-272,100,1000,50,0.207200009
charmed-sweep-120,1,10000,50,0.207200009
crisp-sweep-112,1,1000,50,0.207200009
warm-sweep-136,1,25,50,0.207200006
lively-sweep-96,1,10,50,0.206400007
comic-sweep-784,75,50,50,0.20560001
silver-sweep-488,5,0.001,50,0.20480001
fluent-sweep-88,1,0.001,50,0.20480001
electric-sweep-104,1,100,50,0.204800007
firm-sweep-800,75,5000,50,0.204000013
visionary-sweep-56,0.001,25,50,0.204000011
polished-sweep-672,50,1000,50,0.203200012
efficient-sweep-776,75,25,50,0.203200006
fancy-sweep-600,25,10000,50,0.202400012
different-sweep-560,5,5000,50,0.202400011
spring-sweep-520,5,10000,50,0.201600009
autumn-sweep-648,50,0.001,50,0.200800011
northern-sweep-512,5,1000,50,0.200800011
graceful-sweep-152,1,75,50,0.200800008
dashing-sweep-752,75,1000,50,0.200000009
tough-sweep-656,50,10,50,0.200000009
silver-sweep-296,100,25,50,0.19920001
apricot-sweep-168,10,0.001,50,0.199200007
deep-sweep-176,10,10,50,0.198400012
true-sweep-264,100,100,50,0.19840001
whole-sweep-504,5,100,50,0.19760001
olive-sweep-224,10,50,50,0.197600007
classic-sweep-552,5,75,50,0.196800011
devoted-sweep-200,10,10000,50,0.196000013
comic-sweep-208,10,5,50,0.195200008
autumn-sweep-216,10,25,50,0.192800012
electric-sweep-232,10,75,50,0.192800009
silvery-sweep-640,25,5000,50,0.192000009
eternal-sweep-744,75,100,50,0.192000008
youthful-sweep-664,50,100,50,0.192000006
brisk-sweep-312,100,75,50,0.191200009
dutiful-sweep-240,10,5000,50,0.191200009
fanciful-sweep-192,10,1000,50,0.191200009
graceful-sweep-544,5,50,50,0.19040001
polar-sweep-712,50,75,50,0.189600007
giddy-sweep-304,100,50,50,0.188800007
eager-sweep-792,75,75,50,0.188000013
jolly-sweep-536,5,25,50,0.188000008
ethereal-sweep-184,10,100,50,0.188000008
icy-sweep-16,0.001,10,50,0.18720001
devout-sweep-704,50,50,50,0.187200008
toasty-sweep-592,25,1000,50,0.187200008
stoic-sweep-696,50,25,50,0.185600008
prime-sweep-8,0.001,0.001,50,0.18000001
fragrant-sweep-568,25,0.001,50,0.175200006
cerulean-sweep-576,25,10,50,0.173600008
denim-sweep-608,25,5,50,0.17280001
super-sweep-632,25,75,50,0.171200008
drawn-sweep-584,25,100,50,0.170400006
fast-sweep-616,25,25,50,0.16960001
worldly-sweep-48,0.001,5,50,0.16800001
devoted-sweep-624,25,50,50,0.16560001
