Name,beta,gamma,n_shots,test_accuracy
playful-sweep-290,100,25,5,0.367999998
divine-sweep-250,100,10,5,0.35999999
resilient-sweep-722,75,0.001,5,0.351999995
kind-sweep-242,100,0.001,5,0.351999989
sandy-sweep-306,100,75,5,0.343999991
flowing-sweep-770,75,25,5,0.343999985
decent-sweep-674,50,10000,5,0.343999985
iconic-sweep-650,50,10,5,0.343999985
stellar-sweep-298,100,50,5,0.327999994
eternal-sweep-706,50,75,5,0.327999988
ancient-sweep-282,100,5,5,0.319999997
blooming-sweep-762,75,5,5,0.319999993
cool-sweep-258,100,100,5,0.319999993
atomic-sweep-314,100,5000,5,0.31999999
feasible-sweep-714,50,5000,5,0.311999992
denim-sweep-778,75,50,5,0.311999989
worthy-sweep-698,50,50,5,0.311999989
northern-sweep-642,50,0.001,5,0.311999989
solar-sweep-786,75,75,5,0.30399999
dauntless-sweep-730,75,10,5,0.30399999
crisp-sweep-666,50,1000,5,0.30399999
eager-sweep-738,75,100,5,0.303999987
dulcet-sweep-274,100,10000,5,0.303999987
proud-sweep-794,75,5000,5,0.295999992
easy-sweep-746,75,1000,5,0.295999992
sparkling-sweep-610,25,25,5,0.295999992
super-sweep-690,50,25,5,0.295999989
magic-sweep-578,25,100,5,0.287999994
treasured-sweep-658,50,100,5,0.287999991
divine-sweep-618,25,50,5,0.279999995
peach-sweep-602,25,5,5,0.279999992
decent-sweep-106,1,1000,5,0.279999992
lucky-sweep-162,10,0.001,5,0.279999989
trim-sweep-186,10,1000,5,0.271999991
drawn-sweep-170,10,10,5,0.271999991
polished-sweep-122,1,5,5,0.271999991
brisk-sweep-682,50,5,5,0.263999996
cool-sweep-586,25,1000,5,0.263999993
solar-sweep-522,5,5,5,0.263999993
royal-sweep-202,10,5,5,0.263999993
soft-sweep-754,75,10000,5,0.26399999
lunar-sweep-594,25,10000,5,0.26399999
effortless-sweep-226,10,75,5,0.26399999
stellar-sweep-154,1,5000,5,0.263999987
lunar-sweep-138,1,50,5,0.263999987
worthy-sweep-482,5,0.001,5,0.255999994
vibrant-sweep-234,10,5000,5,0.255999991
super-sweep-218,10,50,5,0.255999988
solar-sweep-178,10,100,5,0.255999988
laced-sweep-266,100,1000,5,0.247999996
northern-sweep-626,25,75,5,0.247999994
blooming-sweep-490,5,10,5,0.247999993
