"Name","State","Notes","User","Tags","Created","Runtime","Sweep","beta","dataset","gamma","load_trained_model","meta_batch_size","meta_lr","mnist_pixels_to_permute_test","mnist_pixels_to_permute_train","n_epochs","n_shots","n_test_epochs","n_ways","per_task_lr","reset_clf_on_meta","seed","test_adapt_steps","train_adapt_steps","train_sample_size","test_accuracy","test_loss"
"ethereal-sweep-853","finished","-","liorf","","2022-05-08T01:55:29.000Z","137","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.8639999747276306","0.5238790392875672"
"peach-sweep-852","finished","-","liorf","","2022-05-08T01:53:08.000Z","134","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.7786666750907898","0.6725833356380463"
"vague-sweep-851","finished","-","liorf","","2022-05-08T01:50:47.000Z","134","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.7639999985694885","0.6468386799097061"
"pretty-sweep-850","finished","-","liorf","","2022-05-08T01:48:24.000Z","136","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.7199999690055847","0.7278934121131897"
"soft-sweep-849","finished","-","liorf","","2022-05-08T01:46:05.000Z","132","e4hlnb4l","5000","mnist","25","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.5600000083446502","1.1995937824249268"
"absurd-sweep-848","finished","-","liorf","","2022-05-08T01:43:28.000Z","151","e4hlnb4l","5000","mnist","5","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.7696000337600708","0.7012120723724365"
"sparkling-sweep-847","finished","-","liorf","","2022-05-08T01:40:58.000Z","142","e4hlnb4l","5000","mnist","5","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.7969999670982361","0.6292030930519104"
"ethereal-sweep-846","finished","-","liorf","","2022-05-08T01:38:38.000Z","134","e4hlnb4l","5000","mnist","5","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.8120000243186951","0.6233641862869262"
"rural-sweep-845","finished","-","liorf","","2022-05-08T01:36:24.000Z","131","e4hlnb4l","5000","mnist","5","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.7979999899864196","0.6388046979904175"
"atomic-sweep-844","finished","-","liorf","","2022-05-08T01:34:06.000Z","132","e4hlnb4l","5000","mnist","5","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.6986666858196259","0.8385358929634095"
"happy-sweep-843","finished","-","liorf","","2022-05-08T01:31:51.000Z","131","e4hlnb4l","5000","mnist","5","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.7039999842643738","0.8527964234352112"
"copper-sweep-842","finished","-","liorf","","2022-05-08T01:29:31.000Z","134","e4hlnb4l","5000","mnist","5","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.5599999964237213","1.070940923690796"
"dutiful-sweep-841","finished","-","liorf","","2022-05-08T01:27:18.000Z","130","e4hlnb4l","5000","mnist","5","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.5400000095367432","1.40513778924942"
"distinctive-sweep-840","finished","-","liorf","","2022-05-08T01:24:43.000Z","151","e4hlnb4l","5000","mnist","10000","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.8160000562667846","0.5689773619174957"
"dandy-sweep-839","finished","-","liorf","","2022-05-08T01:22:13.000Z","147","e4hlnb4l","5000","mnist","10000","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.815999972820282","0.5399733424186707"
"eternal-sweep-838","finished","-","liorf","","2022-05-08T01:19:58.000Z","133","e4hlnb4l","5000","mnist","10000","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.8026666879653931","0.6622667163610458"
"fallen-sweep-837","finished","-","liorf","","2022-05-08T01:17:42.000Z","131","e4hlnb4l","5000","mnist","10000","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.8819999814033508","0.4732809394598007"
"devout-sweep-836","finished","-","liorf","","2022-05-08T01:15:17.000Z","139","e4hlnb4l","5000","mnist","10000","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.8480000257492065","0.5175822466611862"
"balmy-sweep-835","finished","-","liorf","","2022-05-08T01:13:02.000Z","132","e4hlnb4l","5000","mnist","10000","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.8559999823570251","0.47010068893432616"
"earthy-sweep-834","finished","-","liorf","","2022-05-08T01:10:44.000Z","131","e4hlnb4l","5000","mnist","10000","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.7919999718666076","0.6323889076709748"
"comic-sweep-833","finished","-","liorf","","2022-05-08T01:08:29.000Z","129","e4hlnb4l","5000","mnist","10000","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.6400000095367432","0.8935083985328675"
